model_name,paradigm,params_b,seed,layer_idx,layer_frac,surgery_strength,jitter_strength,condition,domain,prompt_id,split,answer,generated,correct,confidence
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,logic,l06,cal,100,"Half of 200 is increased by 25%, and then the result",0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,logic,l07,cal,7,"21, then x equals 7. What is the value of x if",1,0.5
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,logic,l08,cal,32,32. This is because each number in,1,1.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,logic,l09,hold,120,120 km. If the car increases,1,1.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,logic,l10,hold,6,The number of sides in a hexagon is 6. If each side of the hexagon,1,1.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,logic,l11,hold,8,"13, then x equals 8. What is the value of x in",1,0.5
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,logic,l12,hold,11,"The next prime after 7 is 11, so we have 11",1,0.5
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,hard,h01,cal,323,9? Answer with just the number: 323,1,0.5
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,hard,h02,cal,3,"What is the cube root of 27? To find the cube root of 27,",0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,hard,h03,cal,30,Answer with just the number: To find 15% of 20,0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,hard,h04,cal,13,"To find f(5), we need to substitute",0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,hard,h05,cal,gold,"number 79 is ____.
A. Gold
B. Silver",1,1.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,hard,h06,cal,1024,1024,1,1.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,hard,h07,cal,2x,"The derivative of x^2 is 2x, but the derivative of 2",1,1.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,hard,h08,cal,90,degrees in a right angle? - Answers\nMath and Arithmetic\nGeometry\nHow,0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,hard,h09,hold,391,391,1,1.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,hard,h10,hold,15,225? To find the square root of 225,0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,hard,h11,hold,81,the number: 81,1,1.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,hard,h12,hold,343,the number: 7^3 = 343,1,0.5
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms01,hold,5,"is x? Answer with just the number: To solve for x, we need to isolate x",0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms02,hold,6,"To find out how much change you would receive,",0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms03,hold,169,is 13 * 13? Answer with just the number: 169,1,0.5
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms04,hold,60,? Answer with just the number: 60,1,1.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms05,hold,256,What is 2^8? Answer with just the number: 256,1,0.5
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms06,hold,180,many degrees? Answer with just the number: 180,1,1.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms07,hold,50,"To find the speed in km/h, we need",0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms08,hold,1000,9 + 1? Answer with just the number: 1000.,1,0.5
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms09,hold,3600,in one hour? Answer with just the number: 3600,1,1.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms10,hold,20,? Answer with just the number: To find 25% of 80,0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms11,hold,15,"To find f(4), we need to substitute",0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms12,hold,8,just the number: To determine the total number of possible outcomes when a,0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms13,hold,6,just the number: The GCD of 12 and 1,0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms14,hold,5,To find the hypotenuse of a right triangle,0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms15,hold,42,5!? Answer with just the number: 7! / 5! = 4,0,0.0
Qwen2.5-7B,transformer,7.0,11,13,0.48,0.0,0.0,control,multistep,ms16,hold,8,with just the number: 8,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,math,m01,cal,56,the number: 56,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,math,m02,cal,42,: 15 + 27 = 4,0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,math,m03,cal,63,63,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,math,m04,cal,12,12,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,math,m05,cal,81,the number: 81,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,math,m06,cal,42,: 23 + 19 = 4,0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,math,m07,cal,16,"16
What is 256",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,math,m08,cal,121,: 121,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,math,m09,hold,15,": 15
What is 15 /",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,math,m10,hold,85,number: 37 + 48 = 8,0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,math,m11,hold,112,the number: 112,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,math,m12,hold,187,187,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,factual,f01,cal,Tokyo,"of Japan is Tokyo, which is also the largest city in the",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,factual,f02,cal,Celsius,0 degrees Celsius (0° C). This is also equivalent,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,factual,f03,cal,Au,"gold is Au, which comes from the Latin word for gold",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,factual,f04,cal,Jupiter,"Jupiter, which is 11 times the size",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,factual,f05,cal,second,second. Express this speed in meters per microsecond,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,factual,f06,cal,acid,for deoxyribonucleic acid. It is the chemical that carries the genetic,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,factual,f07,cal,12,"root of 144 is (　　)
A: 12",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,factual,f08,cal,6,"The atomic number of carbon is 6, and the number of neutrons in",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,factual,f09,hold,Pacific,"Pacific Ocean, with an area of approximately 1",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,factual,f10,hold,diamond,"substance is diamond, and the hardest synthetic substance is silicon carb",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,factual,f11,hold,Na,"is Na, and the chemical symbol for chlorine is Cl",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,factual,f12,hold,Sun,"Sun, which is approximately 150,",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,logic,l01,cal,water,"flowers need water, then all roses need water. This is an example of which type of",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,logic,l02,cal,Tuesday,"If today is Monday, then tomorrow is (　　)
A: Monday
B:",0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,logic,l03,cal,12,A dozen eggs is exactly 12 eggs. If eggs are priced at,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,logic,l04,cal,equilateral,an equilateral triangle. If a triangle has angles,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,logic,l05,cal,decrease,The opposite of 'increase' is 'decrease'. The opposite of 'decrease,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,logic,l06,cal,100,"Half of 200 is increased by 25%, and then the result",0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,logic,l07,cal,7,"21, then x equals 7. What is the value of x if",1,0.5
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,logic,l08,cal,32,32. This is because each number in,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,logic,l09,hold,120,120 km. If the car increases,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,logic,l10,hold,6,The number of sides in a hexagon is 6. If each side of the hexagon,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,logic,l11,hold,8,"13, then x equals 8. What is the value of x in",1,0.5
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,logic,l12,hold,11,"The next prime after 7 is 11, so we have 11",1,0.5
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,hard,h01,cal,323,9? Answer with just the number: 323,1,0.5
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,hard,h02,cal,3,"What is the cube root of 27? To find the cube root of 27,",0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,hard,h03,cal,30,Answer with just the number: To find 15% of 20,0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,hard,h04,cal,13,"To find f(5), we need to substitute",0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,hard,h05,cal,gold,"number 79 is ____.
A. Gold
B. Silver",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,hard,h06,cal,1024,1024,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,hard,h07,cal,2x,"The derivative of x^2 is 2x, but the derivative of 2",1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,hard,h08,cal,90,degrees in a right angle? - Answers\nMath and Arithmetic\nGeometry\nHow,0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,hard,h09,hold,391,391,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,hard,h10,hold,15,225? To find the square root of 225,0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,hard,h11,hold,81,the number: 81,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,hard,h12,hold,343,the number: 7^3 = 343,1,0.5
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms01,hold,5,"is x? Answer with just the number: To solve for x, we need to isolate x",0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms02,hold,6,"To find out how much change you would receive,",0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms03,hold,169,is 13 * 13? Answer with just the number: 169,1,0.5
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms04,hold,60,? Answer with just the number: 60,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms05,hold,256,What is 2^8? Answer with just the number: 256,1,0.5
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms06,hold,180,many degrees? Answer with just the number: 180,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms07,hold,50,"To find the speed in km/h, we need",0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms08,hold,1000,9 + 1? Answer with just the number: 1000.,1,0.5
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms09,hold,3600,in one hour? Answer with just the number: 3600,1,1.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms10,hold,20,? Answer with just the number: To find 25% of 80,0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms11,hold,15,"To find f(4), we need to substitute",0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms12,hold,8,just the number: To determine the total number of possible outcomes when a,0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms13,hold,6,just the number: The GCD of 12 and 1,0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms14,hold,5,To find the hypotenuse of a right triangle,0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms15,hold,42,5!? Answer with just the number: 7! / 5! = 4,0,0.0
Qwen2.5-7B,transformer,7.0,23,13,0.48,0.0,0.0,control,multistep,ms16,hold,8,with just the number: 8,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,math,m01,cal,56,the number: 56,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,math,m02,cal,42,: 15 + 27 = 4,0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,math,m03,cal,63,63,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,math,m04,cal,12,12,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,math,m05,cal,81,the number: 81,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,math,m06,cal,42,: 23 + 19 = 4,0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,math,m07,cal,16,"16
What is 256",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,math,m08,cal,121,: 121,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,math,m09,hold,15,": 15
What is 15 /",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,math,m10,hold,85,number: 37 + 48 = 8,0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,math,m11,hold,112,the number: 112,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,math,m12,hold,187,187,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,factual,f01,cal,Tokyo,"of Japan is Tokyo, which is also the largest city in the",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,factual,f02,cal,Celsius,0 degrees Celsius (0° C). This is also equivalent,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,factual,f03,cal,Au,"gold is Au, which comes from the Latin word for gold",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,factual,f04,cal,Jupiter,"Jupiter, which is 11 times the size",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,factual,f05,cal,second,second. Express this speed in meters per microsecond,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,factual,f06,cal,acid,for deoxyribonucleic acid. It is the chemical that carries the genetic,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,factual,f07,cal,12,"root of 144 is (　　)
A: 12",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,factual,f08,cal,6,"The atomic number of carbon is 6, and the number of neutrons in",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,factual,f09,hold,Pacific,"Pacific Ocean, with an area of approximately 1",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,factual,f10,hold,diamond,"substance is diamond, and the hardest synthetic substance is silicon carb",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,factual,f11,hold,Na,"is Na, and the chemical symbol for chlorine is Cl",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,factual,f12,hold,Sun,"Sun, which is approximately 150,",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,logic,l01,cal,water,"flowers need water, then all roses need water. This is an example of which type of",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,logic,l02,cal,Tuesday,"If today is Monday, then tomorrow is (　　)
A: Monday
B:",0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,logic,l03,cal,12,A dozen eggs is exactly 12 eggs. If eggs are priced at,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,logic,l04,cal,equilateral,an equilateral triangle. If a triangle has angles,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,logic,l05,cal,decrease,The opposite of 'increase' is 'decrease'. The opposite of 'decrease,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,logic,l06,cal,100,"Half of 200 is increased by 25%, and then the result",0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,logic,l07,cal,7,"21, then x equals 7. What is the value of x if",1,0.5
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,logic,l08,cal,32,32. This is because each number in,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,logic,l09,hold,120,120 km. If the car increases,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,logic,l10,hold,6,The number of sides in a hexagon is 6. If each side of the hexagon,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,logic,l11,hold,8,"13, then x equals 8. What is the value of x in",1,0.5
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,logic,l12,hold,11,"The next prime after 7 is 11, so we have 11",1,0.5
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,hard,h01,cal,323,9? Answer with just the number: 323,1,0.5
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,hard,h02,cal,3,"What is the cube root of 27? To find the cube root of 27,",0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,hard,h03,cal,30,Answer with just the number: To find 15% of 20,0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,hard,h04,cal,13,"To find f(5), we need to substitute",0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,hard,h05,cal,gold,"number 79 is ____.
A. Gold
B. Silver",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,hard,h06,cal,1024,1024,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,hard,h07,cal,2x,"The derivative of x^2 is 2x, but the derivative of 2",1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,hard,h08,cal,90,degrees in a right angle? - Answers\nMath and Arithmetic\nGeometry\nHow,0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,hard,h09,hold,391,391,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,hard,h10,hold,15,225? To find the square root of 225,0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,hard,h11,hold,81,the number: 81,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,hard,h12,hold,343,the number: 7^3 = 343,1,0.5
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms01,hold,5,"is x? Answer with just the number: To solve for x, we need to isolate x",0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms02,hold,6,"To find out how much change you would receive,",0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms03,hold,169,is 13 * 13? Answer with just the number: 169,1,0.5
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms04,hold,60,? Answer with just the number: 60,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms05,hold,256,What is 2^8? Answer with just the number: 256,1,0.5
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms06,hold,180,many degrees? Answer with just the number: 180,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms07,hold,50,"To find the speed in km/h, we need",0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms08,hold,1000,9 + 1? Answer with just the number: 1000.,1,0.5
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms09,hold,3600,in one hour? Answer with just the number: 3600,1,1.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms10,hold,20,? Answer with just the number: To find 25% of 80,0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms11,hold,15,"To find f(4), we need to substitute",0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms12,hold,8,just the number: To determine the total number of possible outcomes when a,0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms13,hold,6,just the number: The GCD of 12 and 1,0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms14,hold,5,To find the hypotenuse of a right triangle,0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms15,hold,42,5!? Answer with just the number: 7! / 5! = 4,0,0.0
Qwen2.5-7B,transformer,7.0,37,13,0.48,0.0,0.0,control,multistep,ms16,hold,8,with just the number: 8,1,1.0
Qwen2.5-7B,transformer,7.0,43,13,0.48,0.0,0.0,control,math,m01,cal,56,the number: 56,1,1.0
Qwen2.5-7B,transformer,7.0,43,13,0.48,0.0,0.0,control,math,m02,cal,42,: 15 + 27 = 4,0,0.0
Qwen2.5-7B,transformer,7.0,43,13,0.48,0.0,0.0,control,math,m03,cal,63,63,1,1.0
Qwen2.5-7B,transformer,7.0,43,13,0.48,0.0,0.0,control,math,m04,cal,12,12,1,1.0
